organization,location,recording_date,audio_length,scientific_name,window_start_time,window_end_time,confidence
CWS-PRA,12-VWL68-32,2021-06-22 22:11:00,180,Emberiza cirlus,3.00,6.00,77.8
CWS-PRA,12-VWL68-32,2021-06-22 22:11:00,180,Junco hyemalis,3.00,6.00,66.0
CWS-PRA,12-VWL68-32,2021-06-22 22:11:00,180,Junco hyemalis,15.00,18.00,52.3
CWS-PRA,12-VWL68-32,2021-06-22 22:11:00,180,Emberiza cirlus,15.00,18.00,60.0
CWS-PRA,12-VWL68-32,2021-06-22 22:11:00,180,Tympanuchus cupido,123.00,126.00,46.3
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,18.00,21.00,54.4
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,21.00,24.00,51.0
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,24.00,27.00,50.8
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,48.00,51.00,93.4
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,51.00,54.00,92.2
CWS-PRA,12-VWL68-32,2021-06-22 22:38:00,180,Chordeiles minor,171.00,174.00,57.4
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,0.00,3.00,63.2
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,3.00,6.00,83.3
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,6.00,9.00,91.6
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,9.00,12.00,92.7
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,12.00,15.00,87.9
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,15.00,18.00,88.8
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,18.00,21.00,92.1
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,21.00,24.00,88.1
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,24.00,27.00,77.9
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,36.00,39.00,81.9
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,39.00,42.00,90.1
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,45.00,48.00,97.4
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,51.00,54.00,98.3
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,54.00,57.00,98.3
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,57.00,60.00,97.4
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,60.00,63.00,97.6
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,63.00,66.00,96.9
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,66.00,69.00,96.3
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,69.00,72.00,89.3
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,75.00,78.00,46.4
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,78.00,81.00,47.0
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,90.00,93.00,48.0
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,93.00,96.00,71.5
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,96.00,99.00,83.1
CWS-PRA,12-VWL68-32,2021-06-22 23:05:00,180,Chordeiles minor,108.00,111.00,59.9
