project,organization,location,recording_date,recording_time,status,latitude,longitude,buffer_radius_m,species_code,scientific_name,species_english_name,species_class,method,rain,wind,noise,industry_noise,audio_issues,species_individual_name,transcriber,confidence,abundance,min0_voc,min0_start,min0_freq_range,min0_tag_duration,min1_voc,min1_start,min1_freq_range,min1_tag_duration,min2_voc,min2_start,min2_freq_range,min2_tag_duration,min3_voc,min3_start,min3_freq_range,min3_tag_duration,min4_voc,min4_start,min4_freq_range,min4_tag_duration,min5_voc,min5_start,min5_freq_range,min5_tag_duration,min6_voc,min6_start,min6_freq_range,min6_tag_duration,min7_voc,min7_start,min7_freq_range,min7_tag_duration,min8_voc,min8_start,min8_freq_range,min8_tag_duration,min9_voc,min9_start,min9_freq_range,min9_tag_duration,daily_weather_station_nm,daily_weather_station_elevation,daily_weather_station_distance,daily_min_temp,daily_max_temp,daily_mean_temp,daily_total_rain_mm,daily_total_snow_cm,daily_precipitation_mm,daily_snow_on_ground_cm,hourly_weather_station_nm,hourly_weather_station_elevation,hourly_weather_station_distance,hourly_temp,hourly_dew_point,hourly_rel_humidity,hourly_precipitation_mm,hourly_wind_direction,hourly_wind_speed,hourly_visibility_km,hourly_station_pressure,hourly_humidex,hourly_wind_chill,hourly_weather_attributes,land_features,equipment_used,task_comment,species_comment,original_file_name,tagged_in_wildtrax
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-27,4:21:00,Active,55.328125,-105.045454,,ALFL,Empidonax alnorum,Alder Flycatcher,AVES,3m 1SPR,None,None,Heavy,None,None,1,Stéphane Menu,Confident,1,Song,34.8,1.45kHz to 4.62kHz,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.8,25.2,19,0,0,0,,LA RONGE RCS,378.60m,24km,14.1,13,93,0,30,2,,97.17,,,NA,,,running water,,05-324-01_20210627_042100.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-27,4:21:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Heavy,None,None,1,Stéphane Menu,Confident,1,,,,,Song,16.3,4.62kHz to 9.90kHz,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.8,25.2,19,0,0,0,,LA RONGE RCS,378.60m,24km,14.1,13,93,0,30,2,,97.17,,,NA,,,running water,,05-324-01_20210627_042100.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-27,4:21:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Heavy,None,None,1,Stéphane Menu,Confident,1,,,,,Song,38.7,2.75kHz to 5.04kHz,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.8,25.2,19,0,0,0,,LA RONGE RCS,378.60m,24km,14.1,13,93,0,30,2,,97.17,,,NA,,,running water,,05-324-01_20210627_042100.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-27,4:21:00,Active,55.328125,-105.045454,,COYE,Geothlypis trichas,Common Yellowthroat,AVES,3m 1SPR,None,None,Heavy,None,None,1,Stéphane Menu,Confident,1,,,,,,,,,Song,37.5,1.63kHz to 5.65kHz,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.8,25.2,19,0,0,0,,LA RONGE RCS,378.60m,24km,14.1,13,93,0,30,2,,97.17,,,NA,,,running water,,05-324-01_20210627_042100.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,MOBA, ,Moderate Background Noise,ABIOTIC,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,Non-vocal,0,0.14kHz to 6.58kHz,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,REVI,Vireo olivaceus,Red-eyed Vireo,AVES,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,2,Song,0.1,1.54kHz to 5.32kHz,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,Song,9.5,2.66kHz to 5.04kHz,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,10m 1SPR,None,None,Moderate,None,None,2,Maya Meron,Confident,1,Song,16.8,2.61kHz to 5.60kHz,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,,,,,Song,8.9,4.25kHz to 10.18kHz,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,DEJU,Junco hyemalis,Dark-eyed Junco,AVES,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,,,,,,,,,Song,18.6,3.46kHz to 5.60kHz,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,10m 1SPR,None,None,Moderate,None,None,3,Maya Meron,Confident,1,,,,,,,,,Song,27.9,2.10kHz to 4.58kHz,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,6:22:00,Active,55.328125,-105.045454,,ALFL,Empidonax alnorum,Alder Flycatcher,AVES,10m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,,,,,,,,,,,,,Call,46.1,2.57kHz to 4.53kHz,0.46,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,15.2,13.5,89,0,0,1,,97.15,,,NA,,,,,05-324-01_20210629_062200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,8:22:00,Active,55.328125,-105.045454,,TEWA,Leiothylpis peregrina,Tennessee Warbler,AVES,3m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,Song,0.2,3.88kHz to 9.81kHz,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,16.8,77,0,35,3,,97.19,26,,NA,,,,,05-324-01_20210629_082200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,8:22:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,1,Song,1.6,1.82kHz to 4.44kHz,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,16.8,77,0,35,3,,97.19,26,,NA,,,,,05-324-01_20210629_082200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,8:22:00,Active,55.328125,-105.045454,,WTSP,Zonotrichia albicollis,White-throated Sparrow,AVES,3m 1SPR,None,None,Moderate,None,None,2,Maya Meron,Confident,1,Song,2.7,2.80kHz to 4.76kHz,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,16.8,77,0,35,3,,97.19,26,,NA,,,,,05-324-01_20210629_082200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,8:22:00,Active,55.328125,-105.045454,,CORA,Corvus corax,Common Raven,AVES,3m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Check Data,1,Call,39.7,0.00kHz to 2.38kHz,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,16.8,77,0,35,3,,97.19,26,,NA,,,,,05-324-01_20210629_082200.wav,t
Boreal Monitoring Strategy - Saskatchewan Breeding Bird Atlas collaboration 2021,ECCC,05-324-01,2021-06-29,8:22:00,Active,55.328125,-105.045454,,BCFR,Pseudacris maculata,Boreal Chorus Frog,AMPHIBIA,3m 1SPR,None,None,Moderate,None,None,1,Maya Meron,Confident,CI 1,,,,,,,,,Song,18.3,2.61kHz to 3.88kHz,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LA RONGE A,379.20m,24km,12.3,30.2,21.3,0,0,0,,LA RONGE RCS,378.60m,24km,21,16.8,77,0,35,3,,97.19,26,,NA,,,,,05-324-01_20210629_082200.wav,t
