spp,scientific_name,common_name,WJSpecID,Scientific,Scientific2,logphi,logtau,logphiSE,logtauSE,mass,logmass,MaxFreqkHz,Migr,Nesthm,habitat,food,behavior,Mig,Mig2,Hab2,Hab3,Hab4,xMaxFreqkHz
ALFL,Empidonax alnorum,Alder Flycatcher,6038,Empidonax alnorum,Empidonax alnorum,-1.137945957,-0.198378833,0.014675889,0.004889344,12.7,2.541601993,6.4,Neotropical migrant,1,Scrub,Insects,Flycatching,LD,M,Open,Open,Open,0.64
AMCR,Corvus brachyrhynchos,American Crow,8093,Corvus brachyrhynchos,Corvus brachyrhynchos,-1.358034727,0.612686282,0.015709843,0.005527432,448.76,6.106488224,1.62,Short distance migrant,8,Open Woodland,Omnivore,Ground Forager,SD,M,Closed,Wood,Wood,0.162
AMGO,Spinus tristis,American Goldfinch,12332,Carduelis tristis,Carduelis tristis,-2.175263335,-0.232910954,0.072527863,0.004557227,12.79,2.548663616,8.25,Short distance migrant,2,Open Woodland,Seeds,Foliage Gleaner,SD,M,Closed,Wood,Wood,0.825
AMPI,Anthus rubescens,American Pipit,11885,Anthus rubescens,Anthus rubescens,-1.668653784,0.090456593,0.120898015,0.115101415,20.68,3.02916705,8,Neotropical migrant,0,Grassland,Insects,Ground Forager,LD,M,Open,Open,Open,0.8
AMRE,Setophaga ruticilla,American Redstart,12720,Setophaga ruticilla,Setophaga ruticilla,-1.168670827,-0.537880528,0.014177743,0.004739129,8.24,2.109000344,8,Neotropical migrant,2,Forest,Insects,Foliage Gleaner,LD,M,Closed,For,For,0.8
AMRO,Turdus migratorius,American Robin,9007,Turdus migratorius,Turdus migratorius,-1.455855553,-0.064830161,0.013005831,0.002999971,78.5,4.363098625,4,Short distance migrant,2,Open Woodland,Insects,Ground Forager,SD,M,Closed,Wood,Wood,0.4
ATSP,Spizella arborea,American Tree Sparrow,12559,Spizella arborea,Spizella arborea,-1.42951471,-0.038798248,0.041856532,0.036538145,17.83,2.880882432,6.5,Short distance migrant,0,Open Woodland,Seeds,Ground Forager,SD,M,Closed,Wood,Wood,0.65
ATTW,Picoides dorsalis,American Three-toed Woodpecker,969,Picoides dorsalis,Picoides dorsalis,-1.851888706,-0.17753881,0.118969243,0.02446162,55.05,4.008241863,3.2,Resident,5.6,Forest,Insects,Bark Forager,WR,W,Closed,For,For,0.32
BANS,Riparia riparia,Bank Swallow,10052,Riparia riparia,Riparia riparia,-1.573476231,0.046053736,0.140568838,0.008774342,12.68,2.540025949,7,Neotropical migrant,3,Lake/Pond,Insects,Aerial Forager,LD,M,Open,Open,Wet,0.7
BAOR,Icterus galbula,Baltimore Oriole,13379,Icterus galbula,Icterus galbula,-1.502030931,-0.178985462,0.077669673,0.010250118,32.83,3.491342732,3.9,Neotropical migrant,8,Open Woodland,Insects,Foliage Gleaner,LD,M,Closed,Wood,Wood,0.39
