ID1,common_name,np_tone,np_pattern,np_combined
ALFL,Alder Flycatcher,buzzy,phrase,buzzy_phrase
AMBI,American Bittern,hoot,phrase,hoot_phrase
AMCO,American Coot,NA,NA,Call
AMCR,American Crow,NA,NA,Call
AMGO,American Goldfinch,polynoise,warble,polynoise_warble
AMKE,American Kestrel,NA,NA,Call
AMRE,American Redstart,click,phrase,click_phrase
AMRO,American Robin,whistle,phrase,whistle_phrase
AMTO,American Toad,click,trill,click_trill
AMWI,American Wigeon,NA,NA,Call
ATSP,American Tree Sparrow,whistle,phrase,whistle_phrase
ATTW,American Three-toed Woodpecker,click,trill,click_trill
BADO,Barred Owl,hoot,phrase,hoot_phrase
BAEA,Bald Eagle,NA,NA,Call
BANS,Bank Swallow,NA,NA,Call
BAOR,Baltimore Oriole,whistle,phrase,whistle_phrase
BARS,Barn Swallow,NA,NA,Call
BAWW,Black-and-white Warbler,whistle,series,whistle_series
BBCU,Black-billed Cuckoo,hoot,series,hoot_series
BBMA,Black-billed Magpie,NA,NA,Call
BBWA,Bay-breasted Warbler,whistle,series,whistle_series
BBWO,Black-backed Woodpecker,click,trill,click_trill
BCCH,Black-capped Chickadee,whistle,phrase,whistle_phrase
BCFR,Boreal Chorus Frog,click,trill,click_trill
BEKI,Belted Kingfisher,NA,NA,Call
BHCO,Brown-headed Cowbird,polynoise,phrase,polynoise_phrase
BHGR,Black-headed Grosbeak,whistle,warble,whistle_warble
BHVI,Blue-headed Vireo,whistle,phrase,whistle_phrase
BLBW,Blackburnian Warbler,whistle,phrase,whistle_phrase
BLJA,Blue Jay,NA,NA,Call
BLPW,Blackpoll Warbler,click,series,click_series
BLTE,Black Tern,NA,NA,Call
BOCH,Boreal Chickadee,NA,NA,Call
BOGU,Bonaparte's Gull,NA,NA,Call
BOOW,Boreal Owl,hoot,trill,hoot_trill
BOWA,Bohemian Waxwing,NA,NA,Call
BRBL,Brewer's Blackbird,polynoise,phrase,polynoise_phrase
BRCR,Brown Creeper,whistle,warble,whistle_warble
BRTH,Brown Thrasher,whistle,series,whistle_series
BTBW,Black-throated Blue Warbler,buzzy,phrase,buzzy_phrase
BTNW,Black-throated Green Warbler,buzzy,phrase,buzzy_phrase
BUFF,Bufflehead,NA,NA,Call
BWHA,Broad-winged Hawk,whistle,phrase,whistle_phrase
BWTE,Blue-winged Teal,NA,NA,Call
CAGU,California Gull,NA,NA,Call
CANG,Canada Goose,NA,NA,Call
CATE,Caspian Tern,NA,NA,Call
CATO,Canadian Toad,click,trill,click_trill
CAWA,Canada Warbler,whistle,warble,whistle_warble
CCSP,Clay-colored Sparrow,buzzy,series,buzzy_series
CEDW,Cedar Waxwing,NA,NA,Call
CHSP,Chipping Sparrow,click,trill,click_trill
CLSW,Cliff Swallow,NA,NA,Call
CMWA,Cape May Warbler,whistle,series,whistle_series
COGO,Common Goldeneye,NA,NA,Call
COGR,Common Grackle,polynoise,phrase,polynoise_phrase
COHA,Cooper's Hawk,NA,NA,Call
COLO,Common Loon,whistle,phrase,whistle_phrase
COME,Common Merganser,NA,NA,Call
CONI,Common Nighthawk,polynoise,phrase,polynoise_phrase
CONW,Connecticut Warbler,click,phrase,click_phrase
CORA,Common Raven,NA,NA,Call
CORE,Common Redpoll,buzzy,phrase,buzzy_phrase
COTE,Common Tern,NA,NA,Call
COYE,Common Yellowthroat,whistle,series,whistle_series
CSWA,Chestnut-sided Warbler,click,phrase,click_phrase
DEJU,Dark-eyed Junco,click,trill,click_trill
DOWO,Downy Woodpecker,click,trill,click_trill
EABL,Eastern Bluebird,whistle,phrase,whistle_phrase
EAGR,Eared Grebe,NA,NA,Call
EAKI,Eastern Kingbird,buzzy,phrase,buzzy_phrase
EAPH,Eastern Phoebe,buzzy,phrase,buzzy_phrase
EAWP,Eastern Wood-Pewee,buzzy,phrase,buzzy_phrase
EVGR,Evening Grosbeak,NA,NA,Call
FOSP,Fox Sparrow,whistle,phrase,whistle_phrase
FOTE,Forster's Tern,NA,NA,Call
FRGU,Franklin's Gull,NA,NA,Call
GADW,Gadwall,NA,NA,Call
GBHE,Great Blue Heron,NA,NA,Call
GCFL,Great Crested Flycatcher,whistle,phrase,whistle_phrase
GCKI,Golden-crowned Kinglet,whistle,series,whistle_series
GCTH,Gray-cheeked Thrush,polynoise,warble,polynoise_warble
GGOW,Great Gray Owl,hoot,series,hoot_series
GHOW,Great Horned Owl,hoot,phrase,hoot_phrase
GRAJ,Gray Jay,NA,NA,Call
GRCA,Gray Catbird,whistle,phrase,whistle_phrase
GRYE,Greater Yellowlegs,NA,NA,Call
GWTE,Green-winged Teal,NA,NA,Call
HASP,Harris's Sparrow,whistle,series,whistle_series
HAWO,Hairy Woodpecker,click,trill,click_trill
HERG,Herring Gull,NA,NA,Call
HETH,Hermit Thrush,polynoise,warble,polynoise_warble
HOGR,Horned Grebe,NA,NA,Call
HOLA,Horned Lark,whistle,warble,whistle_warble
HOME,Hooded Merganser,NA,NA,Call
