ID1,species_common_name,SAR_prairies,np_tone,np_pattern,np_combined,mass,logmass,MaxFreqkHz_lhreg,n_tags_maxfreq_WT,maxfreqkHz,rarity
ALFL,Alder Flycatcher,No,buzzy,phrase,buzzy_phrase,12.7,2.541601993,6.4,722,5.599404432,0.016354016
AMBI,American Bittern,No,hoot,series,hoot_series,NA,NA,NA,168,1.612440476,0.001948669
AMCO,American Coot,No,NA,NA,Call,NA,NA,NA,7,2.034285714,4.93E-05
AMCR,American Crow,No,NA,NA,Call,448.76,6.106488224,1.62,382,2.445183246,0.005562339
AMGO,American Goldfinch,No,polynoise,warble,polynoise_warble,12.79,2.548663616,8.25,87,6.14862069,0.001480001
AMKE,American Kestrel,No,NA,NA,Call,NA,NA,NA,NA,NA,1.23E-05
AMRE,American Redstart,No,whistle,phrase,whistle_phrase,8.24,2.109000344,8,1674,8.782425329,0.019881353
AMRO,American Robin,No,whistle,phrase,whistle_phrase,78.5,4.363098625,4,1166,4.145643225,0.021706688
AMTO,American Toad,No,click,trill,click_trill,NA,NA,NA,NA,NA,2.47E-05
AMWI,American Wigeon,No,NA,NA,Call,NA,NA,NA,19,3.856842105,3.33E-04
ATSP,American Tree Sparrow,No,whistle,phrase,whistle_phrase,17.83,2.880882432,6.5,NA,6.5,1.85E-04
ATTW,American Three-toed Woodpecker,No,click,trill,click_trill,55.05,4.008241863,3.2,48,3.745625,0.001147001
BADO,Barred Owl,No,hoot,phrase,hoot_phrase,NA,NA,NA,9,1.69,1.23E-04
BAEA,Bald Eagle,No,NA,NA,Call,NA,NA,NA,7,4.61,2.71E-04
BANS,Bank Swallow,Yes,NA,NA,Call,12.68,2.540025949,7,3,6.07,7.40E-05
BAOR,Baltimore Oriole,No,whistle,phrase,whistle_phrase,32.83,3.491342732,3.9,10,4.923,1.60E-04
BARS,Barn Swallow,Yes,NA,NA,Call,17.91,2.885359216,7,1,9.67,3.70E-05
BAWW,Black-and-white Warbler,No,whistle,series,whistle_series,10.9,2.388762789,9,365,9.23939726,0.005550006
BBCU,Black-billed Cuckoo,No,hoot,series,hoot_series,50.9,3.929862924,2.5,12,2.174166667,1.85E-04
BBMA,Black-billed Magpie,No,NA,NA,Call,217.48,5.382106892,6,2,4.435,1.11E-04
BBWA,Bay-breasted Warbler,No,whistle,series,whistle_series,11.8,2.468099531,9,15,8.734666667,0.003490337
BBWO,Black-backed Woodpecker,No,click,trill,click_trill,69.24,4.23757873,12,68,4.267941176,0.001578668
BCCH,Black-capped Chickadee,No,whistle,phrase,whistle_phrase,10.8,2.379546134,3.2,100,6.4024,0.001948669
BCFR,Boreal Chorus Frog,No,click,trill,click_trill,NA,NA,NA,320,4.3385,0.00645034
BEKI,Belted Kingfisher,No,click,trill,click_trill,148,4.997212274,9,12,6.7775,3.33E-04
BHCO,Brown-headed Cowbird,No,polynoise,phrase,polynoise_phrase,40.26,3.69535842,12,117,9.246410256,0.001517002
BHGR,Black-headed Grosbeak,No,whistle,warble,whistle_warble,NA,NA,NA,1,4.9,9.87E-05
BHVI,Blue-headed Vireo,No,whistle,phrase,whistle_phrase,15.3,2.727852828,6,177,5.492655367,0.004908672
BLBW,Blackburnian Warbler,No,whistle,phrase,whistle_phrase,9.74,2.276241118,11.5,387,9.823333333,0.003379337
BLJA,Blue Jay,No,NA,NA,Call,88,4.477336814,3.2,146,4.792945205,0.002121335
BLPW,Blackpoll Warbler,No,click,series,click_series,11.84,2.471483629,10.225,25,9.7524,9.50E-04
BLTE,Black Tern,No,NA,NA,Call,NA,NA,NA,15,5.273333333,1.85E-04
BOCH,Boreal Chickadee,No,buzzy,phrase,buzzy_phrase,9.8,2.282382386,7.7,100,8.0441,0.003194337
BOGU,Bonaparte's Gull,No,NA,NA,Call,NA,NA,NA,44,3.872272727,0.001196335
BOOW,Boreal Owl,No,hoot,trill,hoot_trill,NA,NA,NA,5,2.148,1.23E-04
BOWA,Bohemian Waxwing,No,NA,NA,Call,54.41,3.99654796,10,8,7.26,2.10E-04
BRBL,Brewer's Blackbird,No,polynoise,phrase,polynoise_phrase,62.48,4.134846506,6.7,8,5.6675,7.40E-05
BRCR,Brown Creeper,No,whistle,phrase,whistle_phrase,8.1,2.091864062,8.5,189,8.278518519,0.003490337
BRTH,Brown Thrasher,No,whistle,series,whistle_series,68.8,4.231203745,6.5,4,4.4575,1.23E-05
BTBW,Black-throated Blue Warbler,No,buzzy,phrase,buzzy_phrase,10.14,2.316487998,6,NA,6,1.23E-05
BTNW,Black-throated Green Warbler,No,buzzy,phrase,buzzy_phrase,8.69,2.162172939,8,122,7.519180328,0.001911669
BUFF,Bufflehead,No,NA,NA,Call,NA,NA,NA,3,2.396666667,7.40E-05
BWHA,Broad-winged Hawk,No,whistle,phrase,whistle_phrase,NA,NA,NA,5,5.708,1.23E-04
BWTE,Blue-winged Teal,No,NA,NA,Call,NA,NA,NA,1,5.42,1.23E-05
CAGU,California Gull,No,NA,NA,Call,NA,NA,NA,9,3.143333333,1.73E-04
CANG,Canada Goose,No,NA,NA,Call,NA,NA,NA,464,2.150991379,0.009743343
CATE,Caspian Tern,No,NA,NA,Call,NA,NA,NA,2,3.575,3.70E-05
CATO,Canadian Toad,No,click,trill,click_trill,NA,NA,NA,33,2.161212121,7.03E-04
CAWA,Canada Warbler,Yes,whistle,warble,whistle_warble,10.04,2.306577114,7.39,283,7.987349823,0.00353967
CCSP,Clay-colored Sparrow,No,buzzy,series,buzzy_series,11.2,2.415913778,5.5,301,7.187707641,0.004921005
CEDW,Cedar Waxwing,No,NA,NA,Call,31.58,3.452524009,8.5,354,8.533135593,0.006647673
CHSP,Chipping Sparrow,No,click,trill,click_trill,12.2,2.501435952,5.98,1826,7.190131435,0.042389709
CLSW,Cliff Swallow,No,NA,NA,Call,21.6,3.072693315,7,1,5.04,1.23E-05
CMWA,Cape May Warbler,No,whistle,series,whistle_series,10.04,2.306577114,8.65,48,8.970416667,0.003083336
COGO,Common Goldeneye,No,NA,NA,Call,NA,NA,NA,4,3.3275,8.63E-05
COGR,Common Grackle,No,polynoise,phrase,polynoise_phrase,105.18,4.655673168,4,17,6.039411765,3.33E-04
COHA,Cooper's Hawk,No,NA,NA,Call,NA,NA,NA,4,4.285,8.63E-05
COLO,Common Loon,No,buzzy,series,buzzy_series,NA,NA,NA,550,2.090109091,0.012185346
COME,Common Merganser,No,NA,NA,Call,NA,NA,NA,8,2.21125,3.70E-04
CONI,Common Nighthawk,Yes,polynoise,phrase,polynoise_phrase,NA,NA,NA,323,4.942693498,0.004686671
CONW,Connecticut Warbler,No,whistle,phrase,whistle_phrase,13.3,2.587764035,16,261,6.056091954,0.005303339
CORA,Common Raven,No,NA,NA,Call,927.97,6.832999405,4,791,2.233426043,0.015466015
CORE,Common Redpoll,No,buzzy,phrase,buzzy_phrase,NA,NA,NA,7,6.985714286,1.11E-04
COTE,Common Tern,No,NA,NA,Call,NA,NA,NA,1,4.48,1.23E-04
COYE,Common Yellowthroat,No,whistle,series,whistle_series,9.54,2.255493485,6.3,1016,6.63898622,0.015626349
CSWA,Chestnut-sided Warbler,No,whistle,warble,whistle_warble,9.29,2.228938553,7.5,827,8.178077388,0.008164675
DEJU,Dark-eyed Junco,No,click,trill,click_trill,19.5,2.970414466,8.2,1424,6.801116573,0.029439696
DOWO,Downy Woodpecker,No,click,trill,click_trill,25.55,3.240637317,4.25,25,4.8016,6.66E-04
EABL,Eastern Bluebird,No,buzzy,phrase,buzzy_phrase,27.5,3.314186005,3.5,1,3.27,1.23E-05
EAGR,Eared Grebe,No,NA,NA,Call,NA,NA,NA,1,2.33,1.23E-05
EAKI,Eastern Kingbird,No,buzzy,phrase,buzzy_phrase,39.85,3.685122405,8.2,47,8.616808511,5.92E-04
EAPH,Eastern Phoebe,No,buzzy,phrase,buzzy_phrase,19.7,2.980618636,5,5,6.19,6.17E-05
EAWP,Eastern Wood-Pewee,No,buzzy,phrase,buzzy_phrase,13.9,2.63188884,5,1,4.72,1.23E-05
EVGR,Evening Grosbeak,Yes,NA,NA,Call,57.3,4.048300624,4.2,35,5.232571429,0.001134668
FOSP,Fox Sparrow,No,whistle,phrase,whistle_phrase,33.25,3.504054767,7,290,5.206862069,0.005118338
FOTE,Forster's Tern,No,NA,NA,Call,NA,NA,NA,NA,NA,2.47E-05
FRGU,Franklin's Gull,No,NA,NA,Call,NA,NA,NA,16,3.00375,1.97E-04
GADW,Gadwall,No,NA,NA,Call,NA,NA,NA,4,3.035,7.40E-05
GBHE,Great Blue Heron,No,NA,NA,Call,NA,NA,NA,4,2.86,7.40E-05
GCFL,Great Crested Flycatcher,No,whistle,phrase,whistle_phrase,32.1,3.46885603,3.5,7,4.522857143,6.17E-05
GCKI,Golden-crowned Kinglet,No,whistle,warble,whistle_warble,6.19,1.822935087,9.5,70,8.939571429,0.002331002
GCTH,Gray-cheeked Thrush,No,polynoise,warble,polynoise_warble,31.58,3.452524009,7.5,24,5.704583333,6.17E-04
