project_id,location_name,recording_date,task_id,tag_id,ar_action,audit_date,audit_comment,,source_code,target_code,created_by,deleted_by,ar_unique_name,ar_new_unique_name,audit_vocalizationd,current_tag_vocalization,audit_abundance,current_species_abundance
1287,LMNWA-02-25,2022-06-09 04:15:00,537909,3369921,UPDATE,54:46.0,Abundance change through species verification. ,,STGR,STGR,Enid,Kelsey Bell,2,,Call,Call,2,2
1287,LMNWA-02-25,2022-06-09 04:15:00,537909,3369807,UPDATE,54:59.1,Abundance change through species verification. ,,STGR,STGR,Enid,Kelsey Bell,1,,Call,Call,3,3
1287,LMNWA-02-08,2022-06-07 05:55:00,537725,3381461,UPDATE,55:12.7,Abundance change through species verification. ,,STGR,STGR,Enid,Kelsey Bell,1,,Call,Call,2,2
2744,HSNWA-00-05,2024-06-15 22:49:00,1218433,4374022,UPDATE,21:38.6,Abundance change through species verification. ,,PLSP,PLSP,Sean Jenniskens,Kelsey Bell,1,,Song,Song,CI 1,CI 1
2744,HSNWA-00-12,2024-06-23 02:26:00,1218448,4403820,UPDATE,21:50.8,Abundance change through species verification. ,,PLSP,PLSP,Andy Nguyen,Kelsey Bell,1,,Song,Song,CI 3,CI 3
2744,HSNWA-00-05,2020-06-27 21:19:00,1532288,4575999,UPDATE,01:47.6,Abundance change through species verification. ,,CEDW,CEDW,Aaron Roberge,Kelsey Bell,3,,Song,Call,5,5
1287,TWNWA-01-02,2021-06-20 05:16:00,300318,,UPDATE,36:33.8,Abundance Changed to:,,UNKN,UNKN,Meredith Stoesz,Meredith Stoesz,1,,,,,
286,SKBMS:13-UFU72:32,2020-06-05 04:29:00,129011,,UPDATE,59:40.7,Abundance Changed to:,,OVEN,OVEN,Chris Chutter,Enid,1,,,,,
286,SKBMS:13-UEV13:37,2020-05-31 06:37:00,129212,,UPDATE,13:07.6,Abundance Changed to:,,DOGG,DOGG,Robert Wapple,Enid,1,,,,,
2302,ASMB-24-10,2018-06-21 07:01:00,302477,,UPDATE,42:04.9,Abundance Changed to:,,STGR,STGR,Meredith Stoesz,Meredith Stoesz,1,,,,,
286,SKBMS:06-1001:01,2017-06-01 09:34:00,86410,,UPDATE,00:05.9,Abundance Changed to:,,NAWA,NAWA,Steve Van Wilgenburg,Steve Van Wilgenburg,1,,,,,
587,13-UDU18-37,2021-06-17 04:38:00,166979,,UPDATE,29:37.4,Abundance Changed to:,,YRWA,YRWA,Maya Meron,Enid,3,,,,,
587,13-UDU26-35,2021-06-16 03:39:00,166986,,UPDATE,50:17.3,Abundance Changed to:,,WWCR,WWCR,Maya Meron,Enid,1,,,,,
587,13-UEV40-156,2021-07-01 05:01:00,296015,,UPDATE,45:55.1,Abundance Changed to:,,COYO,COYO,Maya Meron,Enid,1,,,,,
587,13-UDU26-33,2021-06-17 03:39:00,166985,,UPDATE,16:05.7,Abundance Changed to:,,WWCR,WWCR,Maya Meron,Enid,1,,,,,
586,MB-38190-3-2,2021-06-06 06:19:00,302751,,UPDATE,43:21.2,Abundance Changed to:1,,FOTE,FOTE,Robert Wapple,Robert Wapple,1,,,,,
1287,SDNWA-02-08,2021-06-16 04:32:00,300198,,UPDATE,12:54.5,Abundance Changed to:1,,UNBI,UNBI,Meredith Stoesz,Meredith Stoesz,1,,,,,
586,SKBMS:13-UEV01:38,2021-06-14 03:31:00,166399,,UPDATE,47:18.7,Abundance Changed to:1,,CONI,CONI,Steve Van Wilgenburg,Steve Van Wilgenburg,1,,,,,
586,SKBMS:14-ULE08:52,2021-06-05 08:49:00,302781,,UPDATE,34:20.0,Abundance Changed to:1,,OVEN,OVEN,Steve Van Wilgenburg,Steve Van Wilgenburg,1,,,,,
1287,SDNWA-02-07,2021-06-17 04:32:00,300199,,UPDATE,04:14.1,Abundance Changed to:1,,CCSP,CCSP,Chris Chutter,Chris Chutter,3,,,,,
2302,ASCR-12-08,2019-06-17 08:26:00,302436,,UPDATE,06:51.6,Abundance Changed to:1,,CCLO,CCLO,Meredith Stoesz,Meredith Stoesz,1,,,,,
587,13-UEU39-35,2021-06-25 06:01:00,291321,,UPDATE,57:18.5,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU17-32,2021-06-22 07:39:00,167085,,UPDATE,16:53.4,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU17-32,2021-06-22 07:39:00,167085,,UPDATE,18:04.9,Abundance Changed to:1,,WTSP,WTSP,Enid,Enid,1,,,,,
587,13-UEV30-35,2021-07-03 04:37:00,162688,,UPDATE,01:54.4,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UEV30-35,2021-07-06 07:39:00,162687,,UPDATE,26:12.5,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU27-36,2021-06-26 08:10:00,167050,,UPDATE,01:18.8,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU27-36,2021-07-07 05:18:00,167052,,UPDATE,55:31.6,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UEU29-34,2021-06-26 07:42:00,291325,,UPDATE,28:23.1,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU17-37,2021-06-22 04:39:00,166973,,UPDATE,57:08.1,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
587,13-UDU17-32,2021-06-22 04:39:00,166978,,UPDATE,11:59.5,Abundance Changed to:1,,REVI,REVI,Enid,Enid,1,,,,,
2302,ASCR-08-13,2019-06-06 07:51:00,302417,,UPDATE,03:08.3,Abundance Changed to:1,,CCLO,CCLO,Erica Alex,Erica Alex,2,2,,,,
1100,SKBMS:13-VEE46:63,2022-06-17 05:23:00,342433,,UPDATE,21:40.3,Abundance Changed to:1,,GRYE,GRYE,,Sean Jenniskens,1,,,,TMTT,
1100,SKBMS:13-UDV60:47,2022-06-19 06:34:00,342255,,UPDATE,26:36.8,Abundance Changed to:1,,CANG,CANG,,Thea Carpenter,1,,,,2,
1100,SKBMS:13-UCA42:36,2022-06-17 05:04:00,342394,,UPDATE,54:39.1,Abundance Changed to:1,,REVI,REVI,,Stéphane Menu,1,,,,2,
1284,MB618-326-28,2022-06-05 06:12:00,474521,,UPDATE,05:01.1,Abundance Changed to:1,,SACR,SACR,,Stéphane Menu,1,,,,2,
1284,MB618-326-44,2022-06-07 07:10:00,474968,,UPDATE,13:12.6,Abundance Changed to:1,,SACR,SACR,,Eloise Sutton,1,,,,2,
1284,MB618-326-45,2022-06-06 08:11:00,474972,,UPDATE,31:38.8,Abundance Changed to:1,,CANG,CANG,,Eloise Sutton,2,,,,2,
1284,MB619-325-37,2022-06-04 07:13:00,475037,,UPDATE,45:44.6,Abundance Changed to:1,,CHSP,CHSP,,Eloise Sutton,1,,,,TMTT,
2326,SBCR-12-10,2022-06-01 05:52:00,484637,,UPDATE,18:31.7,Abundance Changed to:1,,CCLO,CCLO,,Robert Wapple,4,,,,2,
1100,SKBMS:13-UDV60:35,2022-06-11 05:35:00,502287,,UPDATE,33:57.5,Abundance Changed to:1,,CANG,CANG,,Stéphane Menu,1,,,,3,
2326,SBCR-07-15,2022-05-31 04:53:00,484711,,UPDATE,57:10.0,Abundance Changed to:1,,HOLA,HOLA,,Sean Jenniskens,4,,,,2,
1287,SDNWA-02-04,2022-05-31 04:20:00,526174,,UPDATE,45:50.1,Abundance Changed to:1,,RWBL,RWBL,,Robert Wapple,1,,,,2,
2326,SBCR-07-12,2022-06-01 05:22:00,484693,,UPDATE,13:09.7,Abundance Changed to:1,,CCLO,CCLO,,Sean Jenniskens,1,,,,2,
2326,SBCR-07-12,2022-06-01 05:22:00,484693,,UPDATE,17:56.6,Abundance Changed to:1,,HOLA,HOLA,,Sean Jenniskens,6,,,,3,
1287,BRNWA-02-01,2022-05-31 05:12:00,526112,,UPDATE,39:00.1,Abundance Changed to:1,,SACR,SACR,,Robert Wapple,1,,,,2,
1287,TWNWA-02-08,2022-06-15 04:56:00,526229,,UPDATE,33:58.1,Abundance Changed to:1,,RWBL,RWBL,,Meredith Stoesz,2,,,,2,
2326,SBCR-15-02,2022-06-12 04:46:00,484572,,UPDATE,41:15.1,Abundance Changed to:1,,STGR,STGR,,Kelsey Bell,1,,,,3,
1389,TWNWA-02-13,2022-06-11 22:43:00,528990,,UPDATE,26:41.0,Abundance Changed to:1,,NESP,NESP,,Robert Wapple,1,,,,2,
587,13-UEV40-132,2021-07-01 05:34:00,308537,,UPDATE,39:53.4,Abundance Changed to:1,,NAWA,NAWA,,Steve Van Wilgenburg,1,,,,CI 3,
