project_id,location_name,recording_date,task_id,tag_id,ar_action,audit_date,audit_comment,source_code,target_code,created_by,deleted_by,ar_unique_name,ar_new_unique_name,audit_vocalizationd,current_tag_vocalization,audit_abundance,current_species_abundance
286,SKBMS:14-ULD05:84,2018-06-10 06:54:00,82052,,DELETE,2020-11-05 02:58:55.845,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:34,2019-06-18 06:23:00,81961,,DELETE,2020-11-09 15:14:33.946,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:34,2019-06-18 06:23:00,81961,,DELETE,2020-11-09 15:16:35.5,"",PUFI,PUFI,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:34,2019-06-19 06:23:00,82006,,DELETE,2020-11-09 15:42:42.672,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:34,2019-06-19 07:23:00,82015,,DELETE,2020-11-09 15:43:29.59,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:37,2019-06-19 07:23:00,82018,,DELETE,2020-11-09 15:44:14.539,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:37,2019-06-18 06:23:00,81964,,DELETE,2020-11-09 15:46:57.704,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:37,2019-06-19 06:23:00,82009,,DELETE,2020-11-09 15:52:06.888,"",YBFL,YBFL,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-UFU59:37,2019-06-19 06:23:00,82009,,DELETE,2020-11-09 15:52:47.926,"",RESQ,RESQ,strix.temp,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-VFE04:66,2020-06-18 04:48:00,129002,,DELETE,2020-12-16 10:00:52.174,"",WISN,WISN,Chris Chutter,Arthur Beague,2,,,,,
286,SKBMS:13-VFE04:66,2020-06-18 04:48:00,129002,,DELETE,2020-12-16 10:02:10.507,"",WISN,WISN,Chris Chutter,Arthur Beague,1,,,,,
286,SKBMS:13-VFE04:66,2020-06-18 04:48:00,129002,,DELETE,2020-12-16 10:02:31.37,"",WISN,WISN,Chris Chutter,Arthur Beague,3,,,,,
286,SKBMS:05-188:09,2017-06-19 07:31:00,86323,,DELETE,2020-12-18 09:01:11.582,"",BRCR,BRCR,Avery Bartels,Steve Van Wilgenburg,1,,,,,
286,SKBMS:13-VFE04:66,2020-06-18 04:48:00,129002,,DELETE,2020-12-19 00:17:18.11,"",WISN,WISN,Arthur Beague,Chris Chutter,1,,,,,
286,SKBMS:05-253:07,2020-06-09 03:18:00,129982,,DELETE,2020-12-31 15:03:59.589,"",AMRO,AMRO,Chris Chutter,Arthur Beague,1,,,,,
286,SKBMS:05-253:07,2020-06-09 03:18:00,129982,,DELETE,2020-12-31 15:04:15.37,"",AMRO,AMRO,Chris Chutter,Arthur Beague,2,,,,,
286,SKBMS:05-253:06,2020-06-09 03:18:00,129981,,DELETE,2020-12-31 15:07:55.623,"",AMRO,AMRO,Chris Chutter,Arthur Beague,2,,,,,
286,SKBMS:05-253:06,2020-06-09 03:18:00,129981,,DELETE,2020-12-31 15:08:17.497,"",AMRO,AMRO,Chris Chutter,Arthur Beague,1,,,,,
286,SKBMS:05-253:06,2020-06-09 03:18:00,129981,,DELETE,2020-12-31 15:08:32.618,"",REVI,REVI,Chris Chutter,Arthur Beague,0,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2020-12-31 15:12:00.655,"",RBGR,RBGR,Chris Chutter,Arthur Beague,0,,,,,
286,SKBMS:13-VFE04:60,2020-06-18 04:48:00,128977,,DELETE,2020-12-31 15:14:39.211,"",RESQ,RESQ,Chris Chutter,Arthur Beague,1,,,,,
286,SKBMS:05-253:08,2020-06-09 03:18:00,129984,,DELETE,2021-01-03 18:57:53.614,"",WCSP,WCSP,Chris Chutter,Arthur Beague,1,,,,,
286,SKBMS:05-253:08,2020-06-09 03:18:00,129984,,DELETE,2021-01-03 18:58:07.086,"",WCSP,WCSP,Chris Chutter,Arthur Beague,2,,,,,
286,SKBMS:13-UDA62:76,2019-06-02 05:33:00,81671,,DELETE,2021-01-15 08:32:46.169,"",GRAJ,GRAJ,Chris Chutter,Arthur Beague,1,,,,,
428,MB-36498-61,2020-06-16 04:16:00,130929,,DELETE,2021-01-27 18:12:11.101,"",NLFR,NLFR,Laura Nicole Stewart,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:67,2020-06-12 02:49:00,128967,,DELETE,2021-02-01 13:53:54.612,"",WTSP,WTSP,Chris Chutter,Arthur Beague,5,,,,,
286,SKBMS:13-VDF55:36,2020-06-24 08:23:00,130688,,DELETE,2021-02-03 15:32:26.433,"",WIWA,WIWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:60,2020-06-18 02:48:00,128976,,DELETE,2021-02-03 16:33:39.33,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:59,2020-06-12 06:49:00,128973,,DELETE,2021-02-03 16:34:25.732,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:59,2020-06-12 06:49:00,128973,,DELETE,2021-02-03 16:35:07.584,"",WISN,WISN,Robert Wapple,Janine McManus,2,,,,,
286,SKBMS:13-VFE04:64,2020-06-12 06:49:00,128991,,DELETE,2021-02-03 16:35:48.403,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:64,2020-06-12 06:49:00,128991,,DELETE,2021-02-03 16:36:13.481,"",WISN,WISN,Robert Wapple,Janine McManus,2,,,,,
286,SKBMS:05-098:02,2020-06-15 05:14:00,130775,,DELETE,2021-02-03 16:38:19.87,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:05-098:02,2020-06-15 05:14:00,130775,,DELETE,2021-02-03 16:42:50.719,"",FOSP,FOSP,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:05-253:04,2020-06-09 06:18:00,129940,,DELETE,2021-02-03 16:43:42.186,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:05-253:04,2020-06-09 06:18:00,129940,,DELETE,2021-02-03 16:43:47.108,"",RCKI,RCKI,Robert Wapple,Janine McManus,2,,,,,
286,SKBMS:05-253:04,2020-06-09 06:18:00,129940,,DELETE,2021-02-03 16:45:53.113,"",NHOW,NHOW,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VDF42:58,2020-06-12 02:49:02,129923,,DELETE,2021-02-03 16:57:24.068,"",YBFL,YBFL,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VDF55:37,2020-06-18 07:21:00,130690,,DELETE,2021-02-03 17:07:55.564,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VDF55:40,2020-06-30 03:57:00,130697,,DELETE,2021-02-03 17:09:11.99,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VDF55:32,2020-06-15 05:18:00,130675,,DELETE,2021-02-03 17:11:39.786,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VDF55:32,2020-06-15 05:18:00,130675,,DELETE,2021-02-03 17:12:07.15,"",DEJU,DEJU,Chris Chutter,Janine McManus,0,,,,,
286,SKBMS:13-VDF55:32,2020-06-15 05:18:00,130675,,DELETE,2021-02-03 17:15:06.402,"",SAVS,SAVS,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2021-02-03 17:17:24.121,"",RBGR,RBGR,Arthur Beague,Janine McManus,0,,,,,
286,SKBMS:13-VFE04:64,2020-06-18 04:48:00,128992,,DELETE,2021-02-03 17:19:12.076,"",OCWA,OCWA,Chris Chutter,Janine McManus,0,,,,,
286,SKBMS:05-098:05,2020-06-13 07:44:00,130750,,DELETE,2021-02-03 17:22:05.261,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-098:05,2020-06-13 07:44:00,130750,,DELETE,2021-02-03 17:22:17.792,"",MYWA,MYWA,Chris Chutter,Janine McManus,2,,,,,
286,SKBMS:05-253:09,2020-06-18 06:15:00,129979,,DELETE,2021-02-03 17:24:25.126,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-253:05,2020-06-09 07:18:00,129964,,DELETE,2021-02-03 17:25:40.772,"",AMRO,AMRO,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-253:05,2020-06-09 07:18:00,129964,,DELETE,2021-02-03 17:26:17.678,"",CHSP,CHSP,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-253:05,2020-06-09 07:18:00,129964,,DELETE,2021-02-03 17:26:33.21,"",YRWA,YRWA,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:05-253:05,2020-06-09 07:18:00,129964,,DELETE,2021-02-03 17:26:45.979,"",YRWA,YRWA,Chris Chutter,Janine McManus,2,,,,,
286,SKBMS:05-253:05,2020-06-09 03:18:00,129983,,DELETE,2021-02-03 17:29:28.537,"",RBGR,RBGR,Chris Chutter,Janine McManus,1,,,,,
286,SKBMS:13-UCV56:69,2018-06-25 04:19:00,81497,,DELETE,2021-02-04 12:02:40.446,"",BAWW,BAWW,Stan Shadick,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:62,2020-06-18 04:48:00,128987,,DELETE,2021-02-05 07:22:01.877,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:66,2020-06-12 06:49:00,129001,,DELETE,2021-02-05 07:23:27.966,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:66,2020-06-12 06:49:00,129001,,DELETE,2021-02-05 07:23:45.908,"",WISN,WISN,Robert Wapple,Janine McManus,2,,,,,
286,SKBMS:13-VFE04:65,2020-06-12 06:49:00,128996,,DELETE,2021-02-05 07:24:30.91,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:67,2020-06-12 06:49:00,129006,,DELETE,2021-02-05 07:26:00.53,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
286,SKBMS:13-VFE04:67,2020-06-12 06:49:00,129006,,DELETE,2021-02-05 07:26:50.733,"",WISN,WISN,Robert Wapple,Janine McManus,2,,,,,
286,SKBMS:05-253:01,2020-06-13 06:46:00,129970,,DELETE,2021-02-05 07:27:27.95,"",WISN,WISN,Robert Wapple,Janine McManus,1,,,,,
