"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"CMWA","Song",0.340694116011469,1,0,1,0
"LEYE","Call",0.473627501052988,1,0,1,0
"DEJU","Song",0.541901782462966,3,0,3,0
"YRWA","Song",0.571326485641531,3,0,3,0
"PIWO","Call",0.616781114964196,1,0,1,0
"AMGO","Call",0.666681264931097,1,0,1,0
"BRCR","Call",0.670655534621309,1,0,1,0
"SPPE","Song",0.674111993748884,1,0,1,0
"CHSP","Song",0.699989206695651,6,0,6,0
"AMRO","Call",0.700153500163642,3,0,3,0
"AMRO","Song",0.700153500163642,10,0,10,0
"OCWA","Song",0.743376851154072,1,0,1,0
"BOOW","Song",0.746362499042096,2,0,2,0
"BLBW","Song",0.754706638166155,3,0,3,0
"PAWA","Song",0.77462157679478,1,0,1,0
"WIWA","Song",0.787892220103413,1,0,1,0
"BAOR","Call",0.792229558999689,1,0,1,0
"GRTF","Song",0.793751692272555,9,0,9,0
"AMRE","Song",0.796210475259344,13,0,13,0
"CAJA","Call",0.801277152776942,6,0,6,0
"BAOW","Song",0.809711682087768,1,0,1,0
"CATE","Call",0.809711682087768,1,0,1,0
"LEBI","Song",0.809711682087768,1,0,1,0
"WOFR","Song",0.815084030322369,1,0,1,0
"COLO","Call",0.820880119170591,6,0,6,0
"AMCR","Call",0.828732245415877,7,0,7,0
"LEFL","Song",0.834275447008017,8,0,8,0
"BCCH","Call",0.839438044195276,1,0,1,0
"RCKI","Song",0.848425411295217,3,0,3,0
"YEWA","Song",0.851119896135642,3,0,3,0
"YBSA","Song",0.862263919245671,1,0,1,0
"MOWA","Song",0.864814214505974,3,0,3,0
"CORA","Call",0.880178862233661,7,0,7,0
"CORA","Song",0.880178862233661,1,0,1,0
"TRUS","Call",0.88366875376657,5,0,5,0
"RBNU","Call",0.884392407434676,2,0,2,0
"RESQ","Call",0.889029527239369,2,0,2,0
"GRYE","Song",0.893808958505142,2,0,2,0
"PISI","Call",0.905440336063983,4,0,4,0
"CANG","Call",0.908444559989932,9,0,9,0
"PUFI","Song",0.913322964455643,1,0,1,0
"EAWP","Call",0.916409299750148,1,0,1,0
"LEOW","Song",0.918417720288075,2,0,2,0
"BCFR","Song",0.919664375366023,4,0,4,0
"BLJA","Call",0.925274194850854,6,0,6,0
"WEWP","Song",0.927982618916873,1,0,1,0
"SWTH","Call",0.928786079587951,1,0,1,0
"SWTH","Song",0.928786079587951,1,0,1,0
"CEDW","Call",0.950242782434025,7,0,7,0
"RUGR","Song",0.957737783576741,9,0,9,0
"OSFL","Song",0.958565335708987,3,0,3,0
"CONI","Call",0.983603050801987,1,0,1,0
"UNQK","Call",0.741311427849916,1,0,1,0
"UNDU","Call",0.776472855219868,6,0,5,0
"UNTR","Song",0.795613960717974,3,0,3,0
"UNBL","Call",0.809711682087768,1,0,1,0
"UNGU","Call",0.813762720426061,2,0,2,0
"UNMA","Non-vocal",0.866090220357068,2,0,2,0
"UNBI","Call",0.868154752586432,7,1,5,1
"UNBI","Non-vocal",0.868154752586432,9,0,5,0
"UNWA","Song",0.916409299750148,1,0,1,0
"UNPA","Call",0.954252089464088,40,0,5,0
"UNPA","Non-vocal",0.954252089464088,5,0,5,0
"UNPA","Song",0.954252089464088,10,1,5,1
"SORA","Song",0.783998692227445,9,0,9,0
"MAWA","Song",0.787304595285858,24,0,15,0
"SWSP","Song",0.829639317892878,26,0,15,0
"RWBL","Song",0.843369180287516,13,0,13,0
"REVI","Song",0.859030658285255,29,0,15,0
"BAWW","Song",0.866007875997642,31,0,15,0
"CONW","Song",0.885904294069007,26,0,15,0
"NOWA","Song",0.892564915094109,24,0,15,0
"MODO","Song",0.893069259143828,42,0,15,0
"GCKI","Song",0.895457481500624,16,0,15,0
"WISN","Song",0.901249549490903,19,0,15,0
"SACR","Song",0.912673943292199,3,0,3,0
"HETH","Song",0.91787698977426,20,0,15,0
"RBGR","Song",0.918834809033528,19,0,15,0
"TEWA","Song",0.936059092432852,23,0,15,0
"AMBI","Song",0.943515385302614,34,0,15,0
"EWPW","Song",0.962411890044802,23,0,15,0
"ALFL","Song",0.963017795954514,27,0,15,0
"YBFL","Song",0.969440199017554,36,0,15,0
"COYE","Song",0.970705291611106,84,0,15,0
"OVEN","Song",0.973356416701293,26,0,15,0
"NAWA","Song",0.973943675034782,92,0,15,0
"VEER","Song",0.992073302362269,52,0,15,0
"WTSP","Song",0.998187296944193,156,0,15,0
"MODO","Non-vocal",0.893069259143828,1,0,1,0
"BEAV","Non-vocal",0.918417720288075,2,0,2,0
"OVEN","Nocturnal flight",0.973356416701293,1,0,1,0
"SORA","Call",0.783998692227445,7,0,7,0
"RWBL","Call",0.843369180287516,3,0,3,0
"MODO","Call",0.893069259143828,2,0,2,0
"GCKI","Call",0.895457481500624,3,0,3,0
"WISN","Call",0.901249549490903,3,0,3,0
"SACR","Call",0.912673943292199,16,0,15,0
"HETH","Call",0.91787698977426,1,0,1,0
"ALFL","Call",0.963017795954514,2,0,2,0
"YBFL","Call",0.969440199017554,16,0,15,0
"VEER","Call",0.992073302362269,59,0,15,0
