"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"GWWA","Song",0.744047117547682,3,0,3,0
"LEBI","Song",0.818062785693623,1,5,1,5
"MAGO","Call",0.879953997401177,7,0,7,0
"MAGO","Song",0.879953997401177,1,0,1,0
"SBDO","Call",0.886398091140827,0,1,0,1
"TRUS","Call",0.887165283109568,4,0,4,0
"TRUS","Song",0.887165283109568,3,0,3,0
"RUBL","Call",0.914894782829204,1,0,1,0
"OSFL","Song",0.962211658529102,2,0,2,0
"CAWA","Song",0.969924864063952,1,0,1,0
"WEME","Song",0.372912212685892,1,2,1,2
"NLFR","Song",0.434179312165346,4,0,4,0
"MALL","Call",0.510079952849204,6,1,6,1
"FRGU","Call",0.605799329913494,1,0,1,0
"DOWO","Song",0.614400524803456,2,2,2,2
"MAWA","Song",0.63034474750616,6,0,6,0
"AMRE","Song",0.630697173260687,4,0,4,0
"YRWA","Song",0.638515194212925,12,0,12,0
"NOPI","Call",0.646521890366534,0,1,0,1
"DEJU","Song",0.657096079597224,7,3,7,3
"BRCR","Call",0.670811657436081,1,0,1,0
"BRCR","Song",0.670811657436081,1,0,1,0
"BAWW","Song",0.695255153624491,5,0,5,0
"AMGO","Call",0.704704278119835,9,0,9,0
"AMGO","Song",0.704704278119835,4,0,4,0
"SORA","Call",0.712140953940624,2,0,2,0
"SORA","Song",0.712140953940624,4,1,4,1
"BHCO","Song",0.720379597878158,2,0,2,0
"CSWA","Song",0.721940519280481,4,0,4,0
"AMCO","Call",0.724548711840828,1,0,1,0
"BWHA","Call",0.738829679018612,1,0,1,0
"EAWP","Call",0.738829679018612,0,1,0,1
"WOTH","Song",0.738829679018612,0,1,0,1
"SCTA","Song",0.741446969491142,2,0,2,0
"YTVI","Song",0.744047117547682,3,0,3,0
"BBCU","Song",0.745803752973487,3,0,3,0
"RESQ","Call",0.759418723485394,5,0,5,0
"SPPE","Song",0.764466312703088,6,0,6,0
"LEFL","Song",0.778324425553292,8,0,8,0
"PUFI","Song",0.785998811058583,2,1,2,1
"GRTF","Song",0.797282269120701,13,0,13,0
"KILL","Call",0.801905047812384,9,0,9,0
"KILL","Song",0.801905047812384,1,0,1,0
"NHWR","Song",0.80249006378057,4,0,4,0
"BAEA","Call",0.802662043055508,2,0,2,0
"BAEA","Song",0.802662043055508,3,0,3,0
