"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"YERA","Song",0.742765345432594,1,0,1,0
"LEBI","Call",0.884922478222161,1,0,1,0
"LEBI","Song",0.884922478222161,0,2,0,2
"TRUS","Call",0.934654075938916,1,0,1,0
"MAGO","Call",0.943938234098458,8,0,8,0
"EWPW","Song",0.971020466696345,3,0,3,0
"CONI","Call",0.983851545218771,1,0,1,0
"NLFR","Song",0.472755128250981,5,0,5,0
"SOSP","Song",0.6276357061357,5,0,5,0
"YRWA","Song",0.636035737775238,2,0,2,0
"DEJU","Song",0.684665617300787,2,0,2,0
"MALL","Call",0.714139577452088,4,0,4,0
"AMRO","Call",0.75175260124327,4,0,4,0
"RESQ","Call",0.762334349860151,1,0,1,0
"RESQ","Song",0.762334349860151,1,0,1,0
"CHSP","Song",0.7658900342194,8,0,8,0
"CAJA","Call",0.789066081366901,2,0,2,0
"WIWA","Song",0.790474888740187,1,0,1,0
"PBGR","Song",0.792315614710865,1,0,1,0
"VIRA","Call",0.800739695081684,1,0,1,0
"GRFG","Song",0.818422230275343,2,0,2,0
"FRGU","Call",0.828752317722273,1,0,1,0
"PAWA","Song",0.830106339264508,3,0,3,0
"COLO","Call",0.834173229098769,1,0,1,0
"NAWA","Song",0.837302540157786,5,0,5,0
"SAVS","Song",0.849016196300273,9,0,9,0
"SPPE","Song",0.870706353916989,10,0,10,0
"CONW","Song",0.871060798456963,3,0,3,0
"SPSA","Call",0.879519192718383,1,0,1,0
"MODO","Song",0.881485946822903,11,0,11,0
"KILL","Call",0.885296054473104,7,0,7,0
"YBFL","Call",0.888692376096103,1,0,1,0
"PUFI","Call",0.895424265764796,1,0,1,0
"EAWP","Song",0.899077500852817,1,0,1,0
"NOCA","Call",0.899077500852817,1,0,1,0
"AMCR","Call",0.901009804698896,2,0,2,0
"AMTO","Song",0.902623903499528,4,0,4,0
"TUSW","Call",0.902827986397564,2,0,2,0
"BAOR","Song",0.908904687184018,1,0,1,0
"NOFL","Call",0.910234143630841,2,0,2,0
"GRCA","Song",0.91205542505161,2,0,2,0
"WEWP","Song",0.912822170333542,0,1,0,1
"FEPI","Call",0.917590792395544,1,0,1,0
"CANG","Call",0.917700194842073,4,0,4,0
"TRES","Song",0.918104085353018,1,0,1,0
"GWTE","Call",0.91866391776735,3,0,3,0
"CGTR","Song",0.919783301988208,5,0,5,0
"AMBI","Song",0.920195386833955,5,0,5,0
"BARS","Call",0.922778769352251,1,0,1,0
"GHOW","Call",0.930677928993155,2,0,2,0
"BCCH","Song",0.942038832430263,1,0,1,0
"BCFR","Song",0.942931740412319,5,0,5,0
"CCSP","Song",0.943030067025585,12,0,12,0
"BANS","Call",0.944226250516623,1,0,1,0
"SACR","Call",0.944806345799696,9,0,9,0
"SACR","Song",0.944806345799696,2,0,2,0
"BLJA","Call",0.94633712809229,4,0,4,0
"RBGR","Song",0.948060908403006,1,0,1,0
"LCSP","Song",0.948261070815859,1,1,1,1
"CEDW","Call",0.948376262401344,2,0,2,0
"EAKI","Call",0.95315712191495,5,0,5,0
"EAKI","Song",0.95315712191495,1,0,1,0
"LISP","Song",0.957799375570712,4,0,4,0
"PISI","Call",0.958362676123687,1,0,1,0
"PISI","Song",0.958362676123687,1,0,1,0
"ALFL","Call",0.959340751504318,3,0,3,0
"ALFL","Song",0.959340751504318,7,0,7,0
"SWTH","Song",0.95954733439726,2,0,2,0
"YHBL","Song",0.95990218911914,7,0,7,0
"CATO","Song",0.962489235092441,3,0,3,0
"SEWR","Song",0.973640648931178,10,0,10,0
"UNFR","Song",0.812092035218433,1,0,1,0
"UNDU","Call",0.854596212022514,4,0,4,0
"UNTR","Song",0.874439976662218,4,0,4,0
"UNMA","Call",0.890680811810324,2,0,2,0
"UNMA","Non-vocal",0.890680811810324,1,0,1,0
"UNKN","Non-vocal",0.902623903499528,3,0,3,0
"UNKN","Song",0.902623903499528,1,0,1,0
"UNSH","Call",0.902827986397564,2,0,2,0
"UNWA","Song",0.906453597898027,2,1,2,1
"UNBL","Call",0.917590792395544,1,0,1,0
"UNFL","Song",0.917590792395544,1,0,1,0
"UNTH","Call",0.917590792395544,1,0,1,0
"UNBI","Call",0.921417667944741,10,5,5,5
"UNBI","Non-vocal",0.921417667944741,5,0,5,0
"UNPA","Call",0.924356475650736,20,0,5,0
"UNPA","Song",0.924356475650736,2,0,2,0
"UNWR","Call",0.926637749238035,3,0,3,0
"UNWR","Song",0.926637749238035,1,0,1,0
"YEWA","Song",0.941144755502642,35,0,15,0
"GRTF","Song",0.941351174618161,26,0,15,0
"HETH","Song",0.969175832598839,23,0,15,0
"WTSP","Song",0.97383545506429,21,0,15,0
"SWSP","Song",0.982156931841922,62,0,15,0
"WISN","Song",0.986375640961791,18,0,15,0
"RWBL","Song",0.988092593903265,38,0,15,0
"COYE","Song",0.988096556372184,60,0,15,0
"VEER","Song",0.989741076016279,29,0,15,0
"MAWR","Song",0.996199019526004,76,0,15,0
"WISN","Non-vocal",0.986375640961791,12,0,12,0
"HETH","Call",0.969175832598839,3,0,3,0
"WISN","Call",0.986375640961791,18,0,15,0
"RWBL","Call",0.988092593903265,32,0,15,0
"COYE","Call",0.988096556372184,1,0,1,0
"VEER","Call",0.989741076016279,23,0,15,0
