"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"YERA","Song",0.731911764329181,5,0,5,0
"EVGR","Call",0.84464104001104,1,0,1,0
"MAGO","Call",0.872601489833012,0,1,0,1
"LEBI","Call",0.913783668890167,4,1,4,1
"LEBI","Song",0.913783668890167,6,2,6,2
"TRUS","Call",0.920520068112689,2,0,2,0
"TRUS","Song",0.920520068112689,1,0,1,0
"CAWA","Song",0.973533875477304,1,0,1,0
"CONI","Call",0.986794072539726,5,0,5,0
"CONI","Song",0.986794072539726,1,0,1,0
"EWPW","Song",0.994160149052272,53,0,15,0
"NLFR","Song",0.551824662598348,5,0,5,0
"DEJU","Song",0.597459888159782,1,0,1,0
"YRWA","Song",0.62601597882304,1,0,1,0
"MAWA","Song",0.631397299998372,1,0,1,0
"VIRA","Call",0.674522165903786,1,0,1,0
"VIRA","Song",0.674522165903786,3,0,3,0
"BBCU","Song",0.69721982776431,2,0,2,0
"AMRO","Call",0.727482564704449,2,0,2,0
"MODO","Song",0.748678082911572,4,0,4,0
"SPSA","Call",0.779632604332487,1,0,1,0
"RWBL","Call",0.789228161339975,4,0,4,0
"SNGO","Call",0.811938885289446,1,0,1,0
"NHWR","Song",0.817014265476447,1,0,1,0
"WOFR","Song",0.817262544490488,1,0,1,0
"GRFG","Song",0.824149447857553,3,0,3,0
"COLO","Call",0.834034397963069,1,0,1,0
"SWSP","Song",0.844251223469106,11,0,11,0
"SORA","Call",0.848538802560846,5,0,5,0
"SORA","Song",0.848538802560846,3,0,3,0
"YEWA","Song",0.856555682207165,3,0,3,0
"CONW","Song",0.856673286129584,4,0,4,0
"KILL","Call",0.865677752226579,2,0,2,0
"AMBI","Song",0.883214167301889,2,0,2,0
"PBGR","Song",0.891128619895311,2,0,2,0
"CORA","Call",0.892518257342377,1,0,1,0
"VEER","Call",0.894383522501365,4,0,4,0
"VEER","Song",0.894383522501365,1,0,1,0
"EAPH","Song",0.898986427903398,0,1,0,1
"NOPA","Song",0.898986427903398,1,0,1,0
"GHOW","Call",0.909216985765522,1,0,1,0
"GHOW","Song",0.909216985765522,6,0,6,0
"COYE","Song",0.91301147584246,15,0,15,0
"PISI","Call",0.91449820176989,0,1,0,1
"AMWO","Call",0.917514893207368,1,0,1,0
"LESC","Song",0.917514893207368,1,0,1,0
"TRES","Song",0.918028616677743,1,0,1,0
"EUCD","Song",0.920567352654556,2,0,2,0
"MIFR","Song",0.920567352654556,2,0,2,0
"CCSP","Song",0.921667582237468,6,0,6,0
"WTSP","Song",0.92778110400821,3,0,3,0
"CANG","Call",0.928920445507079,8,0,8,0
"BCFR","Song",0.936897983931975,7,0,7,0
"GRCA","Song",0.937668564021146,1,0,1,0
"SACR","Call",0.939252147201692,1,0,1,0
"SWTH","Call",0.951768713603006,3,0,3,0
"RBGU","Call",0.953980932188873,4,0,4,0
"LISP","Song",0.954181917327564,2,0,2,0
"CATO","Song",0.959294141920329,1,0,1,0
"LCSP","Song",0.960854943011145,6,0,6,0
"OVEN","Song",0.972695803543523,1,0,1,0
"AMWI","Call",0.976728315799131,1,0,1,0
"UNDU","Call",0.849919689702742,4,0,4,0
"UNTR","Song",0.851935853241695,8,0,5,0
"UNFR","Song",0.867417836595829,7,0,5,0
"UNPA","Call",0.884421807163724,4,1,4,1
"UNPA","Non-vocal",0.884421807163724,1,0,1,0
"UNPA","Song",0.884421807163724,0,3,0,3
"UNMA","Call",0.884621258730769,1,0,1,0
"UNMA","Non-vocal",0.884621258730769,2,0,2,0
"UNSW","Song",0.898986427903398,0,1,0,1
"UNWA","Call",0.898986427903398,0,1,0,1
"UNWO","Non-vocal",0.898986427903398,1,0,1,0
"UNKN","Call",0.924235918084395,2,0,2,0
"UNKN","Non-vocal",0.924235918084395,5,0,5,0
"UNKN","Song",0.924235918084395,3,0,3,0
"UNBI","Call",0.957483626181985,16,7,5,7
"UNBI","Non-vocal",0.957483626181985,2,0,2,0
"UNBI","Song",0.957483626181985,4,5,4,5
"SPPE","Song",0.894436253451163,21,0,15,0
"AMTO","Song",0.924403904103381,22,0,15,0
"WISN","Song",0.927267443583424,13,0,13,0
"GRTF","Song",0.930671030952911,30,0,15,0
"ALFL","Song",0.97358390372104,8,0,8,0
"SEWR","Song",0.999096448469606,98,0,15,0
"MAWR","Song",0.999998660490783,281,0,15,0
"PIWO","Non-vocal",0.83328987231368,1,0,1,0
"WISN","Call",0.927267443583424,4,0,4,0
"ALFL","Call",0.97358390372104,10,0,10,0
"SEWR","Call",0.999096448469606,1,0,1,0
