"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"YERA","Call",0.584755668844577,0,1,0,1
"YERA","Song",0.584755668844577,6,1,6,1
"LEYE","Call",0.618114823656361,17,0,15,0
"LEYE","Song",0.618114823656361,21,0,15,0
"WRSA","Call",0.736860003029925,1,0,1,0
"SBDO","Call",0.799168895670429,5,0,5,0
"SBDO","Song",0.799168895670429,9,0,9,0
"HUGO","Call",0.809321128210593,5,0,5,0
"HUGO","Song",0.809321128210593,2,0,2,0
"EVGR","Call",0.817941546685889,11,0,11,0
"STSA","Call",0.826207293381715,1,0,1,0
"STSA","Song",0.826207293381715,1,0,1,0
"HASP","Call",0.847506022966738,2,0,2,0
"HASP","Song",0.847506022966738,107,0,15,0
"GWWA","Song",0.861381664587253,5,0,5,0
"RUBL","Call",0.868168419311667,6,1,6,1
"RUBL","Song",0.868168419311667,4,0,4,0
"TRUS","Call",0.925067233031464,10,1,10,1
"TRUS","Song",0.925067233031464,1,0,1,0
"CAWA","Song",0.954956051978226,31,0,15,0
"OSFL","Call",0.970290320346726,1,0,1,0
"OSFL","Song",0.970290320346726,18,0,15,0
"CONI","Call",0.985756456100076,7,0,7,0
"CONI","Non-vocal",0.985756456100076,1,0,1,0
"CONI","Song",0.985756456100076,10,0,10,0
"BBWA","Song",0.374198077904827,4,1,4,1
"CMWA","Song",0.379334835351913,11,0,11,0
"NLFR","Song",0.401054281626935,3,1,3,1
"ATTW","Song",0.551022021711119,2,0,2,0
"MOBL","Song",0.557510716004391,0,1,0,1
"SPGR","Call",0.56558426299088,1,0,1,0
"SPGR","Song",0.56558426299088,1,0,1,0
"MALL","Call",0.579495988765104,2,0,2,0
"NOPI","Call",0.673916970209245,3,0,3,0
"VIRA","Call",0.678634545110852,1,0,1,0
"VIRA","Song",0.678634545110852,1,0,1,0
"SPPE","Song",0.710255764183833,2,0,2,0
"BRCR","Call",0.733481137497745,1,0,1,0
"BRCR","Song",0.733481137497745,6,0,6,0
"BAEA","Call",0.736860003029925,1,0,1,0
"BASA","Call",0.736860003029925,1,0,1,0
"UPEE","Call",0.736860003029925,1,0,1,0
"SNBU","Song",0.737523607649004,2,0,2,0
"SAND","Call",0.739507943108103,3,0,3,0
"SAND","Song",0.739507943108103,2,0,2,0
"GWTE","Call",0.757763037190783,4,0,4,0
"AMGO","Call",0.763082378686737,9,1,9,1
"AMGO","Song",0.763082378686737,2,0,2,0
"WBNU","Call",0.765122415735564,3,0,3,0
"WBNU","Song",0.765122415735564,1,0,1,0
"BBCU","Song",0.768308027856851,2,0,2,0
"PHVI","Song",0.768637449184148,4,4,4,4
"PIWO","Call",0.769759880108815,1,0,1,0
