"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"LEYE","Call",0.665694996178707,14,0,14,0
"LEYE","Song",0.665694996178707,7,0,7,0
"YERA","Call",0.66892696805642,1,0,1,0
"EVGR","Call",0.684894969625034,5,0,5,0
"REKN","Call",0.738546497034448,0,1,0,1
"SBDO","Song",0.832282729932204,4,0,4,0
"HASP","Song",0.859966886022254,12,0,12,0
"RUBL","Call",0.912818783344299,2,1,2,1
"RUBL","Song",0.912818783344299,5,0,5,0
"STSA","Song",0.915302034746712,1,0,1,0
"HUGO","Song",0.917165611048782,3,0,3,0
"TRUS","Call",0.926804247825955,0,2,0,2
"EWPW","Song",0.935501755498974,1,0,1,0
"CAWA","Song",0.947916328673024,5,0,5,0
"CONI","Call",0.993375416125782,24,1,15,1
"CONI","Non-vocal",0.993375416125782,1,0,1,0
"CONI","Song",0.993375416125782,39,0,15,0
"BBWA","Song",0.201059187549539,1,0,1,0
"CMWA","Song",0.25541967033817,1,0,1,0
"MALL","Call",0.490685135485009,3,1,3,1
"SPGR","Song",0.535299632366645,3,0,3,0
"DOWO","Call",0.569509024479432,3,0,3,0
"DOWO","Song",0.569509024479432,0,1,0,1
"BRBL","Call",0.581656636093519,0,1,0,1
"BLPW","Song",0.611095095643985,6,0,6,0
"SAVS","Song",0.640696274544672,8,0,8,0
"BBCU","Song",0.670046373547552,5,0,5,0
"BRCR","Call",0.670163414495254,1,0,1,0
"BRCR","Song",0.670163414495254,1,0,1,0
"FOTE","Call",0.683376413500382,0,1,0,1
"MAWA","Song",0.713577423310985,11,1,11,1
"NOPI","Call",0.731344197843686,4,0,4,0
"HAWO","Call",0.737373039693338,1,0,1,0
"HAWO","Song",0.737373039693338,0,1,0,1
"BBPL","Call",0.738546497034448,1,0,1,0
"NRWS","Call",0.738546497034448,1,0,1,0
"SAND","Call",0.738546497034448,1,0,1,0
"PHVI","Song",0.741903054709656,1,0,1,0
"REVI","Call",0.748603416789979,0,1,0,1
"REVI","Song",0.748603416789979,4,0,4,0
"CAJA","Call",0.750377018663678,5,1,5,1
"BBWO","Call",0.750407791827053,1,0,1,0
"BAWW","Song",0.751372868324097,9,0,9,0
"SPPE","Song",0.758457160410267,4,0,4,0
"GCFL","Call",0.76465646027771,0,1,0,1
"GCFL","Song",0.76465646027771,1,0,1,0
"AMCO","Call",0.779139196948111,0,2,0,2
"LALO","Call",0.787488556596996,1,0,1,0
"LALO","Song",0.787488556596996,5,2,5,2
"PAWA","Song",0.789843189984722,12,1,12,1
"SCTA","Call",0.79499449190798,0,1,0,1
"SCTA","Song",0.79499449190798,2,0,2,0
"GCTH","Call",0.805640454945476,3,0,3,0
"GCTH","Song",0.805640454945476,3,0,3,0
"PALO","Call",0.807487976057676,1,0,1,0
"REDP","Song",0.807487976057676,1,0,1,0
"RESQ","Call",0.808591944293307,9,1,9,1
"RESQ","Song",0.808591944293307,2,0,2,0
"LEFL","Call",0.823275319513501,1,0,1,0
"LEFL","Song",0.823275319513501,2,0,2,0
"FRGU","Call",0.824468230832453,1,0,1,0
"GWTE","Call",0.825161444908736,3,0,3,0
"NOWA","Song",0.830248210764324,6,3,6,3
"SMLO","Call",0.834308804964165,1,0,1,0
"SMLO","Song",0.834308804964165,9,0,9,0
"BLBW","Song",0.834332254474759,8,1,8,1
"BAOR","Call",0.835502003858442,1,0,1,0
"BAOR","Song",0.835502003858442,4,1,4,1
"AMGP","Call",0.837465432962894,5,1,5,1
"AMGP","Song",0.837465432962894,2,0,2,0
"CORA","Call",0.838363992410412,11,1,11,1
"WBBE","Song",0.850521041587881,1,0,1,0
"OCWA","Song",0.860409394337763,3,0,3,0
"BAOW","Song",0.86083582523167,4,0,4,0
"BEAV","Song",0.862803407673171,1,0,1,0
"MOWA","Song",0.866482396125824,7,5,7,5
"PBGR","Song",0.869315431895697,4,0,4,0
"RCKI","Call",0.878499868729703,1,0,1,0
"RCKI","Song",0.878499868729703,10,0,10,0
"NOFL","Call",0.884323369205646,1,0,1,0
"BCCH","Song",0.884425857432506,1,0,1,0
"BOOW","Song",0.886250280408232,0,1,0,1
"GRYE","Call",0.887262379317395,2,0,2,0
"GRYE","Song",0.887262379317395,6,1,6,1
"TRES","Call",0.887626150329005,3,0,3,0
"WIPT","Song",0.888400671069051,11,0,11,0
"RBGR","Song",0.894707077863261,6,1,6,1
"YBFL","Call",0.89551965026966,1,0,1,0
"YBFL","Song",0.89551965026966,6,0,6,0
"SPSA","Call",0.898533117087791,1,0,1,0
"GHOW","Song",0.900075291649322,0,1,0,1
"RNGR","Call",0.903159452626223,1,1,1,1
"RNGR","Song",0.903159452626223,2,0,2,0
"CCSP","Song",0.911313997430966,9,0,9,0
"LISP","Song",0.914775946670755,11,0,11,0
"NSHR","Call",0.915302034746712,1,0,1,0
"SEOW","Call",0.915302034746712,0,1,0,1
"WETA","Song",0.915302034746712,1,0,1,0
"LESC","Song",0.916238531724621,2,0,2,0
"YBSA","Call",0.92026291454305,6,1,6,1
"YBSA","Song",0.92026291454305,2,0,2,0
"SOSA","Song",0.920692278903968,1,0,1,0
"SACR","Call",0.92269121000147,10,0,10,0
"MAWR","Call",0.924689345347245,1,0,1,0
"MAWR","Song",0.924689345347245,1,0,1,0
"NESP","Song",0.926963335977468,0,1,0,1
"PISI","Call",0.929035239781992,4,0,4,0
"BOCH","Song",0.933768944715474,1,0,1,0
"BLJA","Call",0.935181167058101,2,0,2,0
