original_id,vocalization,mean,Confident,NeedsReview,NuConfToVer,NuNeedsRevToVer
GRSP,Song,0.982114038,25,0,15,0
BAIS,Song,0.988711241,4,0,4,0
SPPI,Call,0.989504125,1,0,1,0
SPPI,Song,0.989504125,135,1,15,1
SOSP,Song,0.668087332,2,1,2,1
WBNU,Song,0.765720406,1,0,1,0
BRBL,Call,0.818992062,0,1,0,1
DOWO,Call,0.832508667,1,0,1,0
MALL,Call,0.848966944,2,1,2,1
LARB,Song,0.863081346,0,1,0,1
DEJU,Song,0.870007993,0,4,0,4
CHSP,Song,0.878589406,1,2,1,2
LEYE,Call,0.89866359,1,0,1,0
LEYE,Song,0.89866359,0,1,0,1
FRGU,Call,0.901091521,3,0,3,0
GRAP,Song,0.901614234,0,1,0,1
SORA,Song,0.924913127,4,0,4,0
STGR,Call,0.939242482,1,3,1,3
STGR,Song,0.939242482,3,0,3,0
PIWO,Call,0.940299029,5,0,5,0
PIWO,Song,0.940299029,4,0,4,0
AMCO,Call,0.940746906,1,0,1,0
LASP,Song,0.943463888,7,1,7,1
GCFL,Call,0.946042843,0,1,0,1
NOPI,Song,0.947624383,0,1,0,1
OCWA,Song,0.948096248,10,4,10,4
EABL,Song,0.949001324,0,1,0,1
BAOR,Call,0.951713327,3,0,3,0
BAOR,Song,0.951713327,8,3,8,3
PUMA,Call,0.951919154,1,0,1,0
PUMA,Song,0.951919154,7,2,7,2
SPSA,Call,0.954827808,1,0,1,0
MAGO,Call,0.954932578,2,0,2,0
COYO,Call,0.957501171,1,0,1,0
COYO,Song,0.957501171,3,0,3,0
HAWO,Call,0.95828367,2,0,2,0
NOFL,Call,0.960380936,2,1,2,1
NOFL,Song,0.960380936,1,1,1,1
WILL,Call,0.961073101,1,0,1,0
WILL,Song,0.961073101,3,1,3,1
KILL,Call,0.961491864,2,0,2,0
KILL,Song,0.961491864,1,0,1,0
NRWS,Call,0.962055754,1,0,1,0
CACG,Call,0.962679608,0,1,0,1
HOFI,Call,0.962679608,1,0,1,0
MERL,Song,0.962679608,1,0,1,0
YBCH,Call,0.964406649,0,1,0,1
YBCH,Song,0.964406649,1,0,1,0
GBHE,Call,0.965497982,0,1,0,1
RBWO,Call,0.965497982,0,1,0,1
MOWA,Song,0.965730615,0,1,0,1
GWTE,Call,0.965804975,0,1,0,1
BRSP,Call,0.968293963,0,3,0,3
BRSP,Song,0.968293963,1,2,1,2
CANG,Call,0.96886125,1,0,1,0
WISN,Song,0.969976936,5,0,5,0
EUST,Call,0.970971077,1,0,1,0
EUST,Song,0.970971077,0,1,0,1
YBSA,Call,0.976284446,1,0,1,0
YBSA,Song,0.976284446,3,0,3,0
MAWR,Song,0.976418079,0,1,0,1
HETH,Song,0.976640733,2,3,2,3
VEER,Call,0.976916039,9,0,9,0
VEER,Song,0.976916039,3,0,3,0
GRCA,Song,0.978816295,1,4,1,4
RBGR,Song,0.97904828,2,1,2,1
YHBL,Call,0.979907379,4,0,4,0
YHBL,Song,0.979907379,7,1,7,1
CLSW,Call,0.979934364,3,0,3,0
CLSW,Song,0.979934364,0,2,0,2
EAKI,Call,0.980833559,7,0,7,0
EAGR,Song,0.980936136,1,2,1,2
BLTE,Call,0.982263339,3,0,3,0
PISI,Call,0.984328788,1,0,1,0
BCFR,Song,0.9858216,0,1,0,1
AMWI,Call,0.990802749,2,1,2,1
AMWI,Song,0.990802749,0,2,0,2
CONI,Call,0.997543568,2,0,2,0
CONI,Song,0.997543568,1,0,1,0
UDAB,Call,0.897623768,1,0,1,0
UNFR,Song,0.901614234,1,0,1,0
UNMA,Song,0.934116481,1,1,1,1
UNKN,Call,0.949001324,1,0,1,0
UNWT,Non-vocal,0.949001324,1,0,1,0
UNBL,Call,0.950816454,11,1,5,1
UNWA,Song,0.956227608,2,0,2,0
UNFL,Call,0.957624782,0,1,0,1
UNFL,Song,0.957624782,1,0,1,0
UNBI,Call,0.961447442,13,2,5,2
UNBI,Non-vocal,0.961447442,4,0,4,0
UNBI,Song,0.961447442,5,2,5,2
UNDU,Call,0.965497982,0,1,0,1
UNSH,Song,0.965497982,0,1,0,1
UNPA,Call,0.966561155,22,1,5,1
UNPA,Non-vocal,0.966561155,2,0,2,0
UNPA,Song,0.966561155,3,4,3,4
UNSP,Call,0.974840581,52,0,5,0
AMRO,Song,0.918217903,16,5,15,5
SAVS,Song,0.938851148,18,0,15,0
AMGO,Song,0.941678507,5,0,5,0
RWBL,Song,0.943236507,22,0,15,0
MOBL,Song,0.945787977,40,9,15,9
REVI,Song,0.948565731,33,1,15,1
YEWA,Song,0.950936796,52,1,15,1
BHCO,Song,0.952376013,10,1,10,1
WEME,Song,0.962087357,215,8,15,8
BRTH,Song,0.966288143,15,1,15,1
SPTO,Song,0.974886557,49,2,15,2
AMCR,Song,0.978126419,12,0,12,0
TRES,Song,0.97822458,8,1,8,1
BCCH,Song,0.980095597,15,0,15,0
CORA,Song,0.981842272,20,0,15,0
MODO,Song,0.988400688,194,0,15,0
WAVI,Song,0.989585436,113,4,15,4
LEFL,Song,0.991847893,196,1,15,1
CEDW,Song,0.994402467,7,0,7,0
NHWR,Song,0.998955518,390,8,15,8
CCSP,Song,0.999362116,429,0,15,0
VESP,Song,0.999788397,504,5,15,5
WISN,Non-vocal,0.969976936,2,1,2,1
YBSA,Non-vocal,0.976284446,1,0,1,0
MODO,Non-vocal,0.988400688,3,0,3,0
CONI,Non-vocal,0.997543568,0,3,0,3
AMRO,Call,0.918217903,8,0,8,0
AMGO,Call,0.941678507,47,4,15,4
RWBL,Call,0.943236507,9,4,9,4
MOBL,Call,0.945787977,12,1,12,1
REVI,Call,0.948565731,1,1,1,1
BHCO,Call,0.952376013,33,1,15,1
WEME,Call,0.962087357,4,0,4,0
BBMA,Call,0.962267195,17,0,15,0
SPTO,Call,0.974886557,9,0,9,0
AMCR,Call,0.978126419,84,1,15,1
TRES,Call,0.97822458,21,2,15,2
BCCH,Call,0.980095597,9,1,9,1
CORA,Call,0.981842272,77,4,15,4
WAVI,Call,0.989585436,1,0,1,0
LEFL,Call,0.991847893,23,2,15,2
CEDW,Call,0.994402467,99,0,15,0
NHWR,Call,0.998955518,4,0,4,0
CCSP,Call,0.999362116,2,1,2,1
