"original_id","vocalization","mean","Confident","NeedsReview","NuConfToVer","NuNeedsRevToVer"
"YERA","Song",0.521445266847143,3,0,3,0
"LEYE","Call",0.649103196011047,25,0,15,0
"LEYE","Song",0.649103196011047,13,0,13,0
"CORA","Call",0.855320838952131,24,1,24,1
"CORA","Non-vocal",0.855320838952131,1,0,1,0
"TRUS","Call",0.870902455408505,1,2,1,2
"RUBL","Call",0.874611844016815,5,0,5,0
"RUBL","Song",0.874611844016815,5,1,5,1
"HASP","Song",0.886424272491008,1,2,1,2
"WHCR","Song",0.915435829288328,3,0,3,0
"OSFL","Song",0.972506260567341,62,0,15,0
"CONI","Call",0.983673805284611,3,0,3,0
"CONI","Song",0.983673805284611,11,0,11,0
"SOSP","Song",0.45091766926249,10,1,10,1
"AMRE","Song",0.486507111884367,1,0,1,0
"VIRA","Call",0.600397274688421,1,0,1,0
"DOWO","Song",0.602534766001285,0,1,0,1
"PIWO","Call",0.61159488198055,1,0,1,0
"REVI","Song",0.613815156037395,1,0,1,0
"BLPW","Song",0.626915738382868,1,0,1,0
"MODO","Call",0.631052947719322,1,0,1,0
"SAVS","Call",0.709854647935127,1,0,1,0
"SAVS","Song",0.709854647935127,7,0,7,0
"DEJU","Song",0.711033403807272,12,3,12,3
"AMCR","Call",0.715186333386406,3,0,3,0
"NOPI","Call",0.722716146349359,3,0,3,0
"BOOW","Song",0.73709212892681,0,1,0,1
"DUNL","Song",0.73709212892681,0,1,0,1
"EAPH","Call",0.73709212892681,0,1,0,1
"MAWA","Song",0.7378679903784,3,1,3,1
"PHVI","Song",0.740460796438392,0,1,0,1
"BAWW","Song",0.741522789268828,4,0,4,0
"AMCO","Call",0.744235059132936,7,1,7,1
"WWCR","Call",0.750516529529341,1,0,1,0
"RESQ","Call",0.762251406734282,9,0,9,0
"LEFL","Song",0.785191129572032,11,0,11,0
"BHVI","Song",0.79384071530341,3,0,3,0
"KILL","Call",0.795337509405841,2,1,2,1
"NOWA","Song",0.795840630843508,14,0,14,0
"AMTO","Song",0.806316532068696,1,0,1,0
"SEPL","Call",0.806316532068696,1,0,1,0
"HERG","Call",0.807037442845496,2,0,2,0
"REDP","Call",0.807037442845496,2,0,2,0
"SBIG","Call",0.807037442845496,1,0,1,0
"SBIG","Song",0.807037442845496,1,0,1,0
"GGOW","Call",0.808473134784144,1,0,1,0
"GGOW","Song",0.808473134784144,2,1,2,1
"LESA","Call",0.810611364647137,4,2,4,2
"LESA","Song",0.810611364647137,1,0,1,0
"WETA","Song",0.811972507213068,1,1,1,1
"FOSP","Song",0.812899802881488,3,0,3,0
"NAWA","Song",0.81294459129605,2,0,2,0
"BHCO","Song",0.817196765789024,2,1,2,1
"WEWP","Song",0.8231661325385,6,0,6,0
"WOFR","Song",0.828286249459979,10,0,10,0
"GHOW","Song",0.828628261297246,2,0,2,0
"HAWO","Call",0.835200122003412,1,0,1,0
"HAWO","Song",0.835200122003412,1,0,1,0
"NOFL","Call",0.853774780212699,8,0,8,0
"NOFL","Song",0.853774780212699,0,3,0,3
"TRES","Call",0.858172863426323,4,0,4,0
"BOCH","Call",0.864642470719576,7,0,7,0
"BOCH","Song",0.864642470719576,0,1,0,1
"COYO","Song",0.867463904847853,2,0,2,0
"YBSA","Call",0.873127298083083,0,1,0,1
"YBSA","Song",0.873127298083083,1,0,1,0
"BCCH","Call",0.873393587469318,2,0,2,0
"BCCH","Song",0.873393587469318,2,0,2,0
"TUSW","Call",0.879542656217037,3,0,3,0
"PUFI","Song",0.881409941663758,0,1,0,1
"CONW","Song",0.882001295006523,1,1,1,1
"WTSW","Song",0.885490142887921,1,0,1,0
"NSHO","Call",0.89497042240731,9,0,9,0
"YBFL","Call",0.896677587991966,6,0,6,0
"YBFL","Song",0.896677587991966,2,0,2,0
"NESP","Song",0.911284646223415,15,0,15,0
"RBNU","Call",0.91541689773798,1,0,1,0
"WBIS","Call",0.916503242077278,5,0,5,0
"RUGR","Song",0.922313221055853,1,0,1,0
"VEER","Call",0.927910308506375,0,1,0,1
"AMWI","Call",0.929085694242672,8,0,8,0
"CEDW","Call",0.933193182521823,2,0,2,0
"CEDW","Song",0.933193182521823,1,0,1,0
"BOGU","Call",0.937080836244841,5,0,5,0
"BANS","Call",0.942724316871587,3,0,3,0
"WIWR","Song",0.943206206831806,1,0,1,0
"RBGR","Song",0.946187594004895,1,0,1,0
"BWTE","Call",0.950436593773601,3,0,3,0
"UNVI","Song",0.806316532068696,1,0,1,0
"UNFR","Song",0.807756310074454,3,0,3,0
"UNBL","Call",0.808473134784144,4,0,4,0
"UNTR","Song",0.808678849896366,9,0,5,0
"UNWT","Call",0.81132003031546,6,1,5,1
